run_id,target_id,enable_spoofing,num_targets,noise_std_m,drift_rate_mps,packet_loss_rate_configured,adaptive_ekf_success_threshold_m,ekf_success_rate,rmse_m,interception_time_s,closest_approach_m,intercepted,guidance_efficiency_mps2,spoofing_variance,compute_latency_ms,energy_consumption_j,mission_success_probability,packet_loss_probability,link_snr_db,risk_index_proxy
run_217e8be67454,Target_4,False,8,0.65,0.33,0.28,1.7854999999999999,0.07727272727272727,7.348345584895193,8.35,7.165129043333677,True,21.65958020777617,11.995734315177895,157.73046843514155,2077.245556602283,0.3046234892308123,0.0,0.0,0.7969537353761631
run_217e8be67454,Target_5,False,8,0.65,0.33,0.28,1.7854999999999999,0.01818181818181818,8.269973837679496,10.950000000000001,155.1351938047917,True,17.129499039634418,22.97438042450333,157.73046843514155,1898.0251798479746,0.28266740590103057,0.0,0.0,0.8199038240060107
run_217e8be67454,Target_6,False,8,0.65,0.33,0.28,1.7854999999999999,0.03636363636363636,2.96821270200498,9.8,224.00303564394295,True,19.948790370731064,1.1386080594623822,157.73046843514155,1986.0145755058995,0.28991729794454385,0.0,0.0,0.5572202807411721
run_217e8be67454,Target_7,False,8,0.65,0.33,0.28,1.7854999999999999,0.18636363636363637,5.912295158916905,8.75,42.50928044265564,True,15.77921680545729,25.06373659077755,157.73046843514155,1793.0506335201874,0.33665976434344863,0.0,0.0,0.7305169949509283
run_217e8be67454,Target_8,False,8,0.65,0.33,0.28,1.7854999999999999,0.01818181818181818,7.117759577877945,5.8500000000000005,139.98145322531664,True,16.777686606785377,22.62572294484509,157.73046843514155,1876.5755473631039,0.291580913136649,0.0,0.0,0.7881416016579864
run_22e30d518081,Target_1,False,3,0.45,0.3,0.2,1.4625,0.16111111111111112,4.598879760634384,8.950000000000001,,False,1.0768529576000103,5.626879890483254,109.10333207863663,159.26770234297913,0.08861111111111113,0.0,0.0,0.6718066756599456
run_22e30d518081,Target_2,False,3,0.45,0.3,0.2,1.4625,0.03333333333333333,5.837256389276258,8.950000000000001,,False,0.8044126745026736,17.09471854368576,109.10333207863663,6.781996110316379,0.018333333333333333,0.0,0.0,0.7274788822155931
run_22e30d518081,Target_3,False,3,0.45,0.3,0.2,1.4625,0.32222222222222224,2.0206875661483363,8.950000000000001,,False,0.5264490218314226,0.8456408507405963,109.10333207863663,3.332360674799925,0.17735004520781933,0.0,0.0,0.434094307467772
run_23479578d8d5,Target_1,True,10,1.1,0.48,0.25,2.288,0.41818181818181815,5.101039527424552,5.75,187.41767087984212,True,21.893296173576996,5.340718791671721,298.9976408399442,2080.7548560809632,0.43677283929086397,0.0,0.0,0.7466921356239388
run_23479578d8d5,Target_2,True,10,1.1,0.48,0.25,2.288,0.09090909090909091,3.794165018722327,6.0,311.64787622958414,True,24.76146871095086,1.6738082656399864,298.9976408399442,2231.238943054302,0.38895412609311847,0.0,0.0,0.6353566668077045
run_23479578d8d5,Target_3,True,10,1.1,0.48,0.25,2.288,0.7954545454545454,1.9132793519052183,8.200000000000001,192.7218668105288,True,26.2088808534179,0.9542689310288895,298.9976408399442,2243.7119774452876,0.7318247762495558,0.0,0.0,0.4295915371170007
run_23479578d8d5,Target_4,True,10,1.1,0.48,0.25,2.288,0.35,4.650220209724705,8.4,5.172469272974794,True,31.028923926840775,1.7146007781935537,298.9976408399442,2500.786076624246,0.42438473118620346,0.0,0.0,0.6512373989647079
run_23479578d8d5,Target_5,True,10,1.1,0.48,0.25,2.288,0.08636363636363636,3.0660048259669255,6.65,164.02041082220356,True,24.907373586817783,1.7733640946338716,298.9976408399442,2252.33286624898,0.432698456383003,0.0,0.0,0.6010244887699094
run_23479578d8d5,Target_6,True,10,1.1,0.48,0.25,2.288,0.09090909090909091,3.679684802257468,9.75,228.53824026662264,True,24.782378303508235,0.9319903479164969,298.9976408399442,2199.1819961948754,0.38867570471448004,0.0,0.0,0.6040584356110704
run_23479578d8d5,Target_7,True,10,1.1,0.48,0.25,2.288,0.4954545454545455,4.200488218126787,8.55,44.750221214357765,True,19.908774417838966,10.620551706190057,298.9976408399442,1976.3585084914419,0.4853515135425446,0.0,0.0,0.7003652966448675
run_23479578d8d5,Target_8,True,10,1.1,0.48,0.25,2.288,0.08181818181818182,3.9756448007583796,5.8500000000000005,139.5736034346185,True,23.623112638138686,1.9680591720438836,298.9976408399442,2189.2423992396302,0.3769687423866313,0.0,0.0,0.6562572032837479
run_23479578d8d5,Target_9,True,10,1.1,0.48,0.25,2.288,0.32727272727272727,2.5429345872314637,8.35,217.97217724898215,True,22.617120270951283,1.1104767895144978,298.9976408399442,2117.50051655272,0.5413897620315536,0.0,0.0,0.521778312890457
run_23479578d8d5,Target_10,True,10,1.1,0.48,0.25,2.288,0.18636363636363637,4.1162292894185075,5.5,215.35832818704105,True,20.650451784501488,2.4599512920984195,298.9976408399442,1976.4116613479237,0.4022158463230555,0.0,0.0,0.6690805197460696
run_2425139a9e45,Target_1,False,5,0.85,0.3,0.05,1.6975,0.4041666666666667,8.379250858785309,5.300000000000001,184.75203608021081,True,16.622365089677885,30.064521185739043,115.67481293369664,5965.688277945451,0.4084988012802165,0.05000000000000001,-20.0,0.7612479881145945
