run_id,risk_index_p90,risk_index_mean,targets
run_915f9e2f5d37,0.7454680093178395,0.5790256877996285,5
run_91ce6b822e25,0.12486988944653969,0.10678922418314425,5
run_92335d03f304,0.6831008321105527,0.5784499932907848,6
run_92615f5bb17a,0.8393259254990697,0.7093040831477188,7
run_935616cab902,0.6822775538199883,0.5692127195956058,6
run_943803a4eb76,0.12966068345578854,0.10997993655561393,5
run_944c41ac3f7f,0.6824344172387758,0.5761062606729177,9
run_94504dc366aa,0.6586103208991269,0.528101731209749,6
run_94c07cdfe990,0.715470614055999,0.6424913381860189,10
run_958c8d847312,0.7881293283215343,0.6884435789301154,10
run_95aff159dbe1,0.6670319359021504,0.5295935901281358,7
run_95d0d71af80f,0.6586103208991269,0.528101731209749,6
run_96c48dca360a,0.7845779608642085,0.6612104447461262,8
run_971eb5a66e7a,0.6871257618533402,0.5712816501710586,3
run_9748ea555c65,0.3834102919084853,0.3399253286819639,6
run_97eac9e1e9ca,0.5209306139325232,0.47968298907096835,3
run_97f7c669bdc4,0.5864317658677297,0.43608229790907505,5
run_988cf9e957d4,0.12966068345578854,0.10997993655561393,5
run_9969560be821,0.7480892750867809,0.6866195018873219,5
run_997a6851cb89,0.2152557601809869,0.14498117484133394,5
run_99f7a958568a,0.8760296658083151,0.7727370131659985,8
run_9b2567237a9f,0.4473679370948071,0.3826530308606776,5
run_9b51206e5500,0.37395934642016626,0.336095168505004,6
run_9b622698e23a,0.7163444409044636,0.6111266217811036,3
run_9b85cb1ef7df,0.6824344172387758,0.5761062606729177,9
run_9b8c7103ad3f,0.6992801973973173,0.5790019741155873,6
run_9bf5fb5109b3,0.15497892344852238,0.13311592206623787,3
run_9c4d089a6ecf,0.8682636839804032,0.7748968320496483,8
run_9c7d72844a00,0.6871257618533402,0.5712816501710586,3
run_9cea70e5eaa7,0.6753995461947926,0.5589068601669035,6
run_9d94585e2b58,0.7321494348808177,0.5766757643599106,6
run_9dd1676a6c77,0.5557281997045471,0.45608416797025364,3
run_9dd2739014ec,0.667655940579736,0.5032070594219517,6
run_9e16c8676ed2,0.791495302000872,0.6761307023606273,8
run_9e327b8e79a8,0.5158377493332928,0.44475432543552135,9
run_9eea4219b28a,0.7035015796588545,0.553550166749253,6
run_9eea7f9fdd5e,0.7560905113706445,0.6696949179247529,5
run_9f4cef3f2ba6,0.871148378416823,0.7727428649941435,8
run_9fdb9bb91472,0.6824344172387758,0.5761062606729177,9
run_a033b6045cb3,0.7163825935307788,0.5822762922566038,8
run_a04bfe1d5320,0.7337741108556421,0.6387298752580137,4
run_a05719b608f2,0.68561692226572,0.5108167694557516,6
run_a076ce3788ef,0.6824344172387758,0.5761062606729177,9
run_a0cf57c86214,0.7248407598620514,0.5633979575387462,6
run_a13fdfbd57bd,0.7150475832721378,0.6076329148774113,3
run_a19d508f47e0,0.5252738741386891,0.40883290894760665,4
run_a1bbaa370a2e,0.6679383231729674,0.5466815976304402,6
run_a2d6ca1d77ba,0.3739572168182127,0.3360944586376861,6
run_a2d8a34d18fe,0.6992801973973173,0.5790019741155873,6
run_a3bac5b05899,0.7957167097949559,0.7015194912739922,5
run_a41a61a44594,0.791495302000872,0.6761307023606273,8
run_a4456cb1ea84,0.11782420463243383,0.10491684529574855,5
run_a4b4040161e4,0.667655940579736,0.5032070594219517,6
run_a52698feab84,0.6580919965713365,0.5598283936275434,3
run_a530cb304e51,0.5966248600820045,0.4714931534938523,5
run_a546012461b6,0.6753995461947926,0.5589068601669035,6
run_a55e2338d846,0.3834102919084853,0.3399253286819639,6
run_a57adc97859b,0.7465489142005662,0.6088667839762271,3
run_a590cf08e14b,0.8169878811873706,0.7238185490341054,8
run_a5992b85f447,0.12966068345578854,0.10997993655561393,5
run_a5a5aec9a87f,0.48627830381730575,0.39229912718583904,5
run_a5a8f941c90f,0.667655940579736,0.5032070594219517,6
run_a64280c38a76,0.53360917684513,0.4189976600118698,4
run_a68dabea101c,0.8201500087270045,0.7316311296047046,9
run_a6f1612d74bd,0.7224257242699309,0.5839708613433868,3
run_a794b15e2be7,0.53360917684513,0.4189992850634651,4
run_a7c3e90bc485,0.6864037006874275,0.6051054232044956,10
run_a7f9f6ef2f82,0.7845779608642085,0.6612104447461262,8
run_a8ae25cf5a2b,0.7354054323724594,0.6361682079472566,5
run_a8c0e9d63082,0.7227496060336243,0.6153280499811185,4
run_a8e5da2f3da0,0.722728162660901,0.5934001276395561,7
run_a916260e24c4,0.6586103208991269,0.528101731209749,6
run_a9b773096ee0,0.7392943119640956,0.6255690030540163,6
run_aab0adcd5b7d,0.6756613645254625,0.5559299453898139,3
run_aac87789a3c3,0.7192926076023062,0.6216493760344504,5
run_ac109b011011,0.5209306139325232,0.47968298907096835,3
run_ac362ac48b66,0.6753995461947926,0.5589068601669035,6
run_ac4160bb88a8,0.7820696265438897,0.6666290458959074,8
